time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-01 00:00:00+00:00,14,12,99,44
2023-02-02 00:00:00+00:00,21,13,109,47
2023-02-03 00:00:00+00:00,8,6,75,28
2023-02-04 00:00:00+00:00,7,5,73,23
2023-02-05 00:00:00+00:00,8,7,47,24
2023-02-06 00:00:00+00:00,7,7,173,36
2023-02-07 00:00:00+00:00,10,9,126,36
2023-02-08 00:00:00+00:00,16,12,130,41
2023-02-09 00:00:00+00:00,28,12,92,34
2023-02-10 00:00:00+00:00,8,6,131,46
2023-02-11 00:00:00+00:00,16,7,96,30
2023-02-12 00:00:00+00:00,3,3,264,35
2023-02-13 00:00:00+00:00,15,12,160,50
2023-02-14 00:00:00+00:00,10,5,127,36
