url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,787,432
/Unity-Technologies/Megacity-Sample/tree/master/Assets,131,86
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,82,41
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,61,35
/Unity-Technologies/Megacity-Sample/issues,47,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,45,22
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/StreamingLogicSystem.cs,34,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,26,13
/Unity-Technologies/Megacity-Sample/tree/master/Packages,24,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,22,18
