time_iso8601,stars_cumulative
2022-12-01 00:00:00+00:00,8
2022-12-02 00:00:00+00:00,29
2022-12-03 00:00:00+00:00,35
2022-12-04 00:00:00+00:00,43
2022-12-05 00:00:00+00:00,48
2022-12-07 00:00:00+00:00,50
2022-12-08 00:00:00+00:00,54
2022-12-09 00:00:00+00:00,59
2022-12-10 00:00:00+00:00,61
2022-12-11 00:00:00+00:00,62
2022-12-12 00:00:00+00:00,66
2022-12-13 00:00:00+00:00,68
2022-12-16 00:00:00+00:00,72
2022-12-22 00:00:00+00:00,73
2022-12-24 00:00:00+00:00,74
2022-12-25 00:00:00+00:00,75
2022-12-26 00:00:00+00:00,76
2022-12-29 00:00:00+00:00,77
2022-12-30 00:00:00+00:00,78
2023-01-04 00:00:00+00:00,79
2023-01-05 00:00:00+00:00,81
2023-01-06 00:00:00+00:00,82
2023-01-07 00:00:00+00:00,83
2023-01-09 00:00:00+00:00,84
2023-01-12 00:00:00+00:00,85
2023-01-15 00:00:00+00:00,86
2023-01-16 00:00:00+00:00,88
2023-01-17 00:00:00+00:00,89
2023-01-20 00:00:00+00:00,90
2023-01-22 00:00:00+00:00,91
2023-01-26 00:00:00+00:00,93
2023-01-27 00:00:00+00:00,94
2023-01-29 00:00:00+00:00,96
2023-01-31 00:00:00+00:00,98
2023-02-02 00:00:00+00:00,99
2023-02-07 00:00:00+00:00,100
2023-02-09 00:00:00+00:00,101
2023-02-11 00:00:00+00:00,102
2023-02-12 00:00:00+00:00,103
2023-02-13 00:00:00+00:00,104
2023-02-16 00:00:00+00:00,106
2023-02-17 00:00:00+00:00,108
2023-02-19 00:00:00+00:00,109
2023-02-22 00:00:00+00:00,110
2023-02-23 00:00:00+00:00,112
2023-02-24 00:00:00+00:00,113
2023-02-26 00:00:00+00:00,114
2023-03-01 00:00:00+00:00,116
2023-03-02 00:00:00+00:00,117
